platform,contest_name,start_date,duration_min
LeetCode,Weekly Contest 365,2023-10-01 08:00:00,90.0
LeetCode,Biweekly Contest 114,2023-09-30 20:00:00,90.0
LeetCode,Weekly Contest 364,2023-09-24 08:00:00,90.0
LeetCode,Weekly Contest 363,2023-09-17 08:00:00,90.0
LeetCode,Biweekly Contest 113,2023-09-16 20:00:00,90.0
LeetCode,Weekly Contest 362,2023-09-10 08:00:00,90.0
LeetCode,Weekly Contest 361,2023-09-03 08:00:00,90.0
LeetCode,Biweekly Contest 112,2023-09-02 20:00:00,90.0
LeetCode,Weekly Contest 360,2023-08-27 08:00:00,90.0
LeetCode,Weekly Contest 359,2023-08-20 08:00:00,90.0
LeetCode,Biweekly Contest 111,2023-08-19 20:00:00,90.0
LeetCode,Weekly Contest 358,2023-08-13 08:00:00,90.0
LeetCode,Weekly Contest 357,2023-08-06 08:00:00,90.0
LeetCode,Biweekly Contest 110,2023-08-05 20:00:00,90.0
LeetCode,Weekly Contest 356,2023-07-30 08:00:00,90.0
LeetCode,Weekly Contest 355,2023-07-23 08:00:00,90.0
LeetCode,Biweekly Contest 109,2023-07-22 20:00:00,90.0
LeetCode,Weekly Contest 354,2023-07-16 08:00:00,90.0
LeetCode,Weekly Contest 353,2023-07-09 08:00:00,90.0
LeetCode,Biweekly Contest 108,2023-07-08 20:00:00,90.0
LeetCode,Weekly Contest 352,2023-07-02 08:00:00,90.0
LeetCode,Weekly Contest 351,2023-06-25 08:00:00,90.0
LeetCode,Biweekly Contest 107,2023-06-24 20:00:00,90.0
LeetCode,Weekly Contest 350,2023-06-18 08:00:00,90.0
LeetCode,Weekly Contest 349,2023-06-11 08:00:00,90.0
LeetCode,Biweekly Contest 106,2023-06-10 20:00:00,90.0
LeetCode,Weekly Contest 348,2023-06-04 08:00:00,90.0
LeetCode,Weekly Contest 347,2023-05-28 08:00:00,90.0
LeetCode,Biweekly Contest 105,2023-05-27 20:00:00,90.0
LeetCode,Weekly Contest 346,2023-05-21 08:00:00,90.0
LeetCode,Weekly Contest 345,2023-05-14 08:00:00,90.0
LeetCode,Biweekly Contest 104,2023-05-13 20:00:00,90.0
LeetCode,Weekly Contest 344,2023-05-07 08:00:00,90.0
LeetCode,Weekly Contest 343,2023-04-30 08:00:00,90.0
LeetCode,Biweekly Contest 103,2023-04-29 20:00:00,90.0
LeetCode,Weekly Contest 342,2023-04-23 08:00:00,90.0
LeetCode,Weekly Contest 341,2023-04-16 08:00:00,90.0
LeetCode,Biweekly Contest 102,2023-04-15 20:00:00,90.0
LeetCode,Weekly Contest 340,2023-04-09 08:00:00,90.0
LeetCode,Weekly Contest 339,2023-04-02 08:00:00,90.0
LeetCode,Biweekly Contest 101,2023-04-01 20:00:00,90.0
LeetCode,Weekly Contest 338,2023-03-26 08:00:00,90.0
LeetCode,Weekly Contest 337,2023-03-19 08:00:00,90.0
LeetCode,Biweekly Contest 100,2023-03-18 20:00:00,90.0
LeetCode,Weekly Contest 336,2023-03-12 08:00:00,90.0
LeetCode,Weekly Contest 335,2023-03-05 08:00:00,90.0
LeetCode,Biweekly Contest 99,2023-03-04 20:00:00,90.0
LeetCode,Weekly Contest 334,2023-02-26 08:00:00,90.0
LeetCode,Weekly Contest 333,2023-02-19 08:00:00,90.0
LeetCode,Biweekly Contest 98,2023-02-18 20:00:00,90.0
LeetCode,Weekly Contest 332,2023-02-12 08:00:00,90.0
LeetCode,Weekly Contest 331,2023-02-05 08:00:00,90.0
LeetCode,Biweekly Contest 97,2023-02-04 20:00:00,90.0
LeetCode,Weekly Contest 330,2023-01-29 08:00:00,90.0
LeetCode,Weekly Contest 329,2023-01-22 08:00:00,90.0
LeetCode,Biweekly Contest 96,2023-01-21 20:00:00,90.0
LeetCode,Weekly Contest 328,2023-01-15 08:00:00,90.0
LeetCode,Weekly Contest 327,2023-01-08 08:00:00,90.0
LeetCode,Biweekly Contest 95,2023-01-07 20:00:00,90.0
LeetCode,Weekly Contest 326,2023-01-01 08:00:00,90.0
LeetCode,Weekly Contest 325,2022-12-25 08:00:00,90.0
LeetCode,Biweekly Contest 94,2022-12-24 20:00:00,90.0
LeetCode,Weekly Contest 324,2022-12-18 08:00:00,90.0
LeetCode,Weekly Contest 323,2022-12-11 08:00:00,90.0
LeetCode,Biweekly Contest 93,2022-12-10 20:00:00,90.0
